gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Gender_encode,race_encode,lunch_encode,test_encode
female,group D,some college,standard,completed,59,70,78,0,3,1,0
male,group D,associate's degree,standard,none,96,93,87,1,3,1,1
female,group D,some college,free/reduced,none,57,76,77,0,3,0,1
male,group B,some college,free/reduced,none,70,70,63,1,1,0,1
female,group D,associate's degree,standard,none,83,85,86,0,3,1,1
male,group C,some high school,standard,none,68,57,54,1,2,1,1
female,group E,associate's degree,standard,none,82,83,80,0,4,1,1
female,group B,some high school,standard,none,46,61,58,0,1,1,1
male,group C,some high school,standard,none,80,75,73,1,2,1,1
female,group C,bachelor's degree,standard,completed,57,69,77,0,2,1,0
male,group B,some high school,standard,none,74,69,69,1,1,1,1
male,group B,master's degree,standard,none,53,50,49,1,1,1,1
male,group B,bachelor's degree,free/reduced,none,76,74,76,1,1,0,1
male,group A,some college,standard,none,70,73,70,1,0,1,1
male,group C,master's degree,free/reduced,none,55,54,52,1,2,0,1
male,group E,master's degree,free/reduced,none,56,46,43,1,4,0,1
female,group C,some college,free/reduced,none,35,47,41,0,2,0,1
female,group C,high school,standard,none,87,92,81,0,2,1,1
female,group E,associate's degree,free/reduced,none,80,82,85,0,4,0,1
female,group D,associate's degree,standard,completed,65,71,74,0,3,1,0
male,group C,high school,free/reduced,none,66,66,62,1,2,0,1
female,group D,associate's degree,standard,completed,67,71,76,0,3,1,0
female,group B,some college,standard,none,70,71,71,0,1,1,1
male,group E,associate's degree,standard,none,89,88,86,1,4,1,1
male,group D,associate's degree,standard,completed,99,85,88,1,3,1,0
male,group B,some college,standard,none,74,83,72,1,1,1,1
male,group D,high school,free/reduced,none,58,52,51,1,3,0,1
male,group D,some high school,standard,none,70,66,59,1,3,1,1
female,group E,associate's degree,standard,none,80,79,71,0,4,1,1
male,group D,associate's degree,standard,none,90,87,86,1,3,1,1
female,group B,associate's degree,standard,completed,80,81,85,0,1,1,0
female,group D,associate's degree,free/reduced,none,68,76,79,0,3,0,1
female,group B,high school,free/reduced,completed,69,78,75,0,1,0,0
female,group D,master's degree,free/reduced,none,32,35,37,0,3,0,1
male,group D,high school,standard,completed,82,82,82,1,3,1,0
female,group A,some high school,standard,none,57,53,54,0,0,1,1
female,group E,some college,free/reduced,none,69,74,75,0,4,0,1
male,group D,associate's degree,standard,completed,68,66,72,1,3,1,0
male,group C,associate's degree,free/reduced,completed,74,85,87,1,2,0,0
male,group E,master's degree,standard,none,89,85,78,1,4,1,1
male,group C,associate's degree,free/reduced,completed,46,46,48,1,2,0,0
